,astech-inc.|08:00:81
a-&-r-cambridge|00:1b:7c
a-beltrãânica,-companhia-de-comunicaãâ§ãâµes,-lda|00:15:34
a-brand-new-world-in-sweden-ab|00:05:39
a-first-technology-co.,-ltd.|00:15:66
a-four-tech-co.,-ltd.|00:1a:40
a-jin-techline-co,-ltd|00:0f:ca
a-kyung-motion,-inc.|00:05:c1
a-link-europe-ltd|00:1a:9f
a-max-technology-macao-commercial-offshore-company-limited|00:26:7d
a-one-co.,-ltd.|00:03:82
a-plus-info-corporation|00:40:08
a-team-technology-ltd.|00:21:3f
a-tec-subsystem-inc.|00:16:67
a-trend-technology-co.,-ltd.|00:e0:fd
a-trust-computer-corporation|00:1f:d8
a-z-inc.|00:07:a7
a.-s.-thomas,-inc.|08:18:4c
a.-w.-communication-systems-ltd|00:15:6e
a.i.-antitaccheggio-italia-srl|00:25:06
a.o.-smith-water-products|0c:84:11
a.t.n.r.|00:e0:79
a/s-mycron|08:00:59
a&amp;d-co.,-ltd.|00:09:1f
a&d-engineering-co.,-ltd.|8c:53:f7
a&t|40:04:0c
a+v-link-technologies,-corp.|94:dd:3f
a10-networks|00:1f:a0
a2-corporation|00:10:43
a2b-electronics-ab|00:22:80
a2i-marketing-center|00:12:41
a4sp-technologies-ltd.|00:21:fa
a5tek-corp.|00:06:b9
a7-engineering,-inc.|00:24:ab
aac-electronics-corp.|00:0e:e7
aae-systems,-inc|00:30:d4
aaeon-technology-inc.|00:07:32
aai-corporation|00:17:d9
aamp-of-america|00:26:72
aanetcom,-inc.|00:90:57
ãâšmic-ab|00:1b:a1
aastra|00:08:5d
aastra-telecom|00:10:bc
aatr|00:02:0f
aava-mobile-oy|70:2f:97
aaxeon-technologies-inc.|7c:cb:0d
ab-regin|00:30:97
abatron-ag|00:0c:01
abb-ab,-cewe-control|00:0c:62
abb-as,-division-automation-products|00:1b:45
abb-bomem,-inc.|00:02:2c
abb-genway-xiamen-electrical-equipment-co.,-ltd|80:7a:7f
abb-inc./totalflow|00:13:86
abb-industrial-systems-ab|00:00:23
abb-ltd|60:39:1f
abb-n.v.-power-quality-products|98:03:a0
abb-oy|00:0c:02
abb-oy-/-distribution-automation|00:21:c1
abb-oy-drives|00:1c:01
abb-power-t&d-company,-inc.|00:90:4f
abb-spa,-abb-sace-div.|ac:d3:64
abb-stotz-kontakt-gmbh|00:0c:de
abb-stotz-kontakt-gmbh|00:24:59
abb-switzerland-ltd|00:03:2c
abb-switzerland-ltd,-power-systems|00:02:a3
abbey-systems-ltd|00:12:e9
abbott-diagnostics|00:13:dd
abbott-point-of-care|c0:a2:6d
abe-elettronica-s.p.a.|00:1d:7c
abekas-video-system|00:00:76
abelko-innovation|00:30:5e
abeona-networks-inc|00:06:10
aberdeen-test-center|00:15:43
abicom-international|08:b4:cf
abilis-systems-sarl|f4:36:e1
abisystems-co.,-ltd|a4:01:30
abit-computer-corporation|00:50:8d
abit-corporation|00:c0:ef
abk-north-america,-llc|00:22:70
abl-canada,-inc.|00:50:1b
ablaze-systems,-llc|00:26:0e
able-communications-inc.|08:00:1d
abler-technology,-inc.|00:e0:f0
ablerex-electronics-co.,-ltd|00:0f:7e
abocom|00:12:0e
abocom|ec:f0:0e
abocom-systems,-inc.|00:19:74
abocom-systems,-inc.|00:e0:98
about-computing-inc.|00:c0:f8
abovecable,-inc.|00:0d:08
abrantix-ag|14:07:e0
absolute-analysis|24:bb:c1
absolutevalue-systems,-inc.|00:05:84
abus-security-center-gmbh-&-co.-kg|8c:11:cb
ac-electric-vehicles,-ltd.|00:0c:89
ac-tech-corporation-dba-advanced-digital|00:0c:61
ac&t-system-co.,-ltd.|00:30:ba
aca-digital-corporation|00:1a:55
acacia-networks,-inc.|00:a0:95
acard-technology-corp.|00:11:64
acbel-polytech-inc.|00:13:96
acc-gmbh|00:0c:70
accedian-networks|00:15:ad
accel-semiconductor-corp|00:1f:81
accel-technologies-inc.|08:00:6b
accel,-inc.|00:50:2d
accelent-systems,-inc.|00:04:34
accelerated-concepts,-inc|00:27:04
accelerated-networks,-inc.|00:10:26
accelight-networks|00:06:f3
accelink-technologies-co.,ltd.|6c:2e:33
accell-corporation|08:00:78
accella-technologies-co.,-ltd.|00:06:bf
accense-technology,-inc.|00:17:66
accensus-llc|dc:1e:a3
access-co.,-ltd.|00:80:32
access-devices-limited|00:08:07
access-media-spa|00:03:13
access-systems-americas,-inc.|00:0e:20
accesslan-communications,-inc.|00:10:33
acclaim-communications|00:60:ce
accm|00:1f:2a
acconet-(pte)-ltd|00:19:f6
accord-systems,-inc.|00:40:e9
accord-video-telecommunications,-ltd.|00:90:ca
accordance-systems-inc.|bc:3e:13
accordion-networks,-inc.|00:02:60
accsense,-inc.|00:14:a0
accton-technology-corp.|00:00:e8
accton-technology-corp.|00:04:e3
accton-technology-corp.|00:30:f1
accton-technology-corporation|00:10:b5
accton-technology-corporation|00:12:cf
accton-wireless-broadband(awb),-corp.|b8:61:6f
accu-sort-systems-inc.|00:0e:13
accu-time-systems,-inc.|00:60:95
accuenergy-(canada)-inc|ec:c3:8a
accupix-inc.|9c:1f:dd
accurate-techhnologies,-inc.|00:0f:36
accuspec-electronics,-llc|1c:3a:4f
accusys,-inc.|00:06:12
accutech-ultrasystems-co.,-ltd.|00:18:ed
accutome|98:e1:65
ace-cad-enterprise-co.,-ltd.|00:1b:58
aceex-corporation|00:05:b4
acenet-corporation|00:17:ad
acenet-technology-inc.|00:18:47
acentic-gmbh|d4:c7:66
acer-incorporated|00:01:24
acer-netxus-inc.|00:60:67
acer-peripherals,-inc.|00:a0:60
acer-technologies-corp.|00:00:e2
aces-technology|7c:b5:42
acetel|00:d1:1c
acist-medical-systems,-inc.|00:17:b1
ackfin-networks|00:e0:93
acksys-communications-&-systems|00:09:90
aclara-power-line-systems-inc.|00:1d:24
aclara-rf-systems-inc.|00:19:2b
acm-systems|00:0c:60
acme-packet|00:08:25
acn-advanced-communications|00:d0:73
acn-technologies|00:04:05
acogito-co.,-ltd|00:19:52
acomz-networks-corp.|00:03:71
acorel-s.a.s|00:26:30
acorn-computers-limited|00:00:a4
acorp-electronics-corp.|00:08:75
acqis-technology|00:05:7f
acr|00:02:d5
acra-control|00:0c:4d
acres-gaming,-inc.|00:60:07
acrison,-inc.|00:d0:6d
acro-telecom|00:14:ec
acroloop-motion-control|00:d0:5b
acromag,-inc.|00:01:c3
acromate,-inc.|2c:a1:57
acroname-inc.|04:e6:62
acronet-co.,-ltd.|00:04:ff
acrosser-technology-co.,-ltd.|00:02:b6
acrowave-systems-co.,-ltd.|00:04:47
acs-solutions-france|00:1e:e4
acs-solutions-switzerland-ltd.|00:17:5b
acsip-technology-corp.|00:26:fc
acsip-technology-corp.|68:9c:5e
acsip-technology-corp.|8c:b8:64
act'l|00:03:27
actel-corporation|00:0b:e9
actelis-networks,-inc.|00:03:85
acterna|00:07:11
acti-corporation|00:0f:7c
actia|00:10:02
actifio-inc|38:a9:5f
action-digital-inc.|00:07:9f
action-imaging-solutions|00:09:b9
action-star-enterprise-co.,-ltd.|00:24:9b
action-target,-inc.|70:5e:aa
action-technology-(sz)-co.,-ltd|00:1b:03
actioncable,-inc.|a0:40:25
actions-semiconductor-co.,ltd.(cayman-islands)|f4:4e:fd
actiontec-electronics,-inc|00:0f:b3
actiontec-electronics,-inc|00:15:05
actiontec-electronics,-inc|00:18:01
actiontec-electronics,-inc|00:1e:a7
actiontec-electronics,-inc|00:1f:90
actiontec-electronics,-inc|00:24:7b
actiontec-electronics,-inc|00:26:62
actiontec-electronics,-inc|00:26:b8
actiontec-electronics,-inc|00:7f:28
actiontec-electronics,-inc|20:76:00
actiontec-electronics,-inc|40:8b:07
actiontec-electronics,-inc|a8:39:44
actiontec-electronics,-inc.|00:20:e0
actis-computer-sa|00:20:15
activ-net-gmbh-&-co.-kg|00:0e:5f
activ-networks|00:12:03
activa-multimedia|00:1a:32
active-control-technology-inc.|d0:58:75
active-imaging-plc|00:60:25
active-power|00:30:a5
active-silicon-ltd.|00:05:91
active-storage-inc.|00:22:c1
active-tchnology-corporation|00:0a:2c
activetelco|00:01:dc
activis-polska|00:12:58
actuality-systems,-inc.|00:11:96
acucomm,-inc.|00:90:37
acuity-imaging,-inc.|00:60:33
aculab-plc|00:02:1f
acurix-networks-lp|f0:fd:a0
acuro-networks,-inc|ec:b1:06
acuson-computed-sonography|00:c0:c3
acute-communications-corp.|00:d0:f9
acutvista-innovation-co.,-ltd.|a0:b6:62
acx-gmbh|70:31:87
ad-systems-corp.|00:50:d5
ad.el-s.r.l.|00:13:40
adachi-syokai-co.,-ltd.|00:27:16
adam-communications-systems-int-ltd|00:1d:64
adam-elektronik-ltd.sti.|00:0a:ea
adanis-inc.|18:6d:99
adapcom|00:02:87
adapt4,-llc|00:13:de
adaptec-incorporated|00:00:d1
adaptive-instruments|00:0f:b9
adaptive-micro-systems-inc.|00:0e:12
adaptive-micro-ware-inc.|00:1a:0a
adaptive-recognition-hungary,-inc|00:1d:4d
adaptive-spectrum-and-signal-alignment-(assia),-inc.|78:02:8f
adaptive-systems,-inc.|00:80:27
adaptix,-inc|00:12:61
adastra-systems-corp.|00:20:0c
adatis-gmbh-&-co.-kg|10:62:c9
adax,-inc.|00:07:10
adaxys-solutions-ag|a4:b2:a7
aday-technology-inc|00:11:c0
adb-broadband-italia|00:08:27
adb-broadband-italia|00:13:c8
adb-broadband-italia|00:17:c2
adb-broadband-italia|00:19:3e
adb-broadband-italia|00:1c:a2
adb-broadband-italia|00:1d:8b
adb-broadband-italia|00:22:33
adb-broadband-italia|00:23:8e
adb-broadband-italia|00:25:53
adb-broadband-italia|30:39:f2
adb-broadband-italia|38:22:9d
adb-broadband-italia|64:87:d7
adb-broadband-italia|a4:52:6f
adb-broadband-italia|d4:d1:84
adb-broadband-spa|dc:0b:1a
adc---global-connectivity-solutions-division|00:40:16
adc-codenoll-technology-corp.|00:00:4a
adc-codenoll-technology-corp.|00:80:df
adc-elektronik-gmbh|00:24:9e
adc-techonology|00:09:e7
adc-telecommunications|00:17:34
adcon-telemetry-gmbh|00:04:d2
add-on-technology-co.,-ltd.|00:13:85
adder-technology-limited|00:0f:58
addi-data-gmbh|00:0f:6c
additech,-inc.|c0:0d:7e
addlogix|00:12:96
addo-japan-corporation|00:0f:85
addonics-technologies,-inc.|00:50:c8
addpac-technology-co.,-ltd.|00:02:a4
addtron-technology-co.,-ltd.|00:40:33
addvalue-communications-pte-ltd|00:0b:68
adec-&-parter-ag|00:1a:9b
ademco|00:d0:2d
adept-systems-inc.|00:07:fc
adept-technology|00:10:ea
adept-telecom|00:02:6d
adesys-bv|00:21:9d
adeunis-rf|00:18:b2
adfweb.com-s.r.l.|10:64:e2
adherent-systems,-ltd.|00:01:f8
adhoc-technologies|00:10:a9
adhoco-ag|00:18:e5
adi-engineering,-inc.|00:08:a2
adid-sa|00:30:7c
adigit-technologies-corp.|00:18:a5
adimos-systems-ltd|00:0e:e6
adinstruments|00:0b:55
aditec-co.-ltd|00:14:5f
aditya-infotech-ltd.|28:18:fd
adlink-technology,-inc.|00:30:64
admtek-incorporated|00:e0:92
adobe-systems,-inc.|00:40:18
adoir-digital-technology|00:05:ef
adolf-tedsen-gmbh-&-co.-kg|80:42:7c
adolf-thies-gmbh-&-co.-kg|00:24:ad
adp-gauselmann-gmbh|00:0e:87
adra-systems-inc.|00:00:71
ads-gmbh|14:8a:70
ads-tec-gmbh|00:18:92
ads-technologies,-inc|00:50:c5
adsoft,-ltd.|00:80:57
adtec-corporation|00:02:29
adtec-productions,-inc.|00:90:1f
adtech|00:30:75
adtek-system-science-co.,-ltd.|00:01:7e
adtran-inc|00:01:4f
adtran-inc.|00:19:92
adtran-inc.|00:a0:c8
adtranz-sweden|00:06:30
adura-technologies|00:27:0b
adv-security-(s)-pte-ltd|c8:1e:8e
adva-optical-networking-inc.|00:0b:90
adva-optical-networking-ltd|00:d0:8b
adva-optical-networking-ltd.|00:80:ea
advance-micro-research,-inc.|00:c0:a0
advance-sterilization-products|00:12:89
advance-wireless-technology-corp.|00:12:b3
advanced-card-systems-ltd.|00:23:2f
advanced-communications-co.,-ltd.|00:03:d5
advanced-compression-technology,-inc.|00:20:90
advanced-computer-applications|00:20:7d
advanced-computer-comm.|08:00:03
advanced-computer-solutions,-inc.|00:60:f4
advanced-control-systems-doo|00:21:42
advanced-control-systems,-inc.|00:10:66
advanced-cybernetics-group|00:12:ce
advanced-digital-broadcast-sa|68:63:59
advanced-digital-broadcast,-ltd.|00:03:91
advanced-digital-technology|00:08:8f
advanced-electronic-design,-inc.|00:1c:8f
advanced-energy|00:0b:47
advanced-fibre-communications|00:90:77
advanced-hi-tech-corp.|00:50:74
advanced-industrial-computer,-inc.|00:15:b2
advanced-information|00:80:b0
advanced-integration-research|00:c0:51
advanced-knowledge-associates|00:1f:f9
advanced-logic-research,-inc.|00:c0:0d
advanced-micro-devices|00:00:1a
advanced-micro-peripherals|b0:e9:7e
advanced-mobile-telecom-co.,ltd.|58:1d:91
advanced-motion-controls|00:13:84
advanced-network-devices-(dba:and)|20:46:f9
advanced-panmobil-systems-gmbh-&-co.-kg|90:50:7b
advanced-peripherals-technologies,-inc.|00:a0:7a
advanced-photonics,-inc.|b8:da:f7
advanced-realtime-tracking-gmbh|00:22:f5
advanced-relay-corporation|00:1c:5a
advanced-rf-technologies-inc|34:97:fb
advanced-scientific-corp|00:02:18
advanced-simulation-technology-inc.|00:1a:18
advanced-spectrum-technology-co.,-ltd.|00:26:eb
advanced-switching-communications,-inc.|00:90:26
advanced-systems-co.,-ltd.|00:05:41
advanced-technical-solutions|00:40:db
advanced-technical-support,-inc.|a0:07:b6
advanced-technology-&-systems|00:30:7a
advanced-technology-labs|00:c0:fb
advanced-telecommunication-technologies,-inc.|00:12:0d
advanced-telecommunications-modules,-ltd.|00:20:2b
advanced-telemetry|68:1f:d8
advanced-television-systems-committee,-inc.|00:09:79
advanced-video-communications-inc.|00:24:a7
advanced-vision-technolgies-corp.|00:e0:95
advanced-wireless-dynamics-s.l.|70:a4:1c
advancedio-systems-inc|00:1a:86
advanet-inc.|00:10:71
advansee|08:25:22
advansus-corp.|00:19:0f
advansys|00:e0:3c
advantage-century-telecommunication-corp.|00:d0:e9
advantage-six-ltd|00:17:de
advantech-amt-inc.|00:0e:02
advantech-co.,-ltd.|00:d0:c9
advantech-technologies-co.,ltd|00:14:53
advantech-technology-(china)-co.,-ltd.|00:0b:ab
advas-co.,-ltd.|70:1a:ed
advent-networks|00:06:96
adventiq-ltd.|00:1e:ed
advidia|78:a1:83
aeg-power-solutions|00:26:e5
aegate-ltd|00:16:57
aehr-test-systems|00:20:bf
aeluros|00:0b:25
aeon-digital-international|00:14:7d
aeon-systems,-inc.|00:40:19
aep-srl|04:e2:f8
aep-systems-international-ltd|00:e0:6c
aeras-networks,-inc.|00:0e:30
aeris-elettronica-s.r.l.|00:1c:22
aerocomm,-inc.|00:50:67
aeroconcierge-inc.|00:09:30
aerodev|2c:1e:ea
aeroflex-laboratories,-inc.|00:50:31
aerohive-networks-inc.|40:18:b1
aerohive-networks-inc.|e0:1c:41
aerohive-networks,-inc.|00:19:77
aerohive-networks,-inc.|08:ea:44
aeromaritime-systembau-gmbh|00:18:55
aeronix,-inc.|00:0b:d1
aerosat-avionics|00:21:23
aeroscout-ltd.|00:0c:cc
aerotech-inc|00:11:89
aerotelecom-co.,ltd.|00:0f:91
aerovironment-(av-inc)|00:1a:f9
aes-data-inc.|08:00:80
aes-prodata|00:a0:62
aesys-s.p.a.|00:11:bf
aeta|00:03:84
aeta-audio-systems|00:15:97
aetas-systems-inc.|00:25:30
aethra-telecomunicazioni|00:d0:d6
aevoe-inc.|00:14:3d
aewin-technologies-co.,-ltd.|00:0d:48
afar-communications,inc|00:0d:94
afco-systems|00:0d:7d
afe-computers-ltd.|00:40:5f
affinity-international-s.p.a|00:1b:04
affirmed-networks|78:22:3d
afreey-inc.|00:22:60
aft-atlas-fahrzeugtechnik-gmbh|00:23:fd
aftek-infosys-limited|00:17:b3
ag-e-gmbh|00:01:7c
ag-leader-technology|00:24:a9
agait-technology-corporation|c8:d1:d1
agami-systems,-inc.|00:1a:47
agapha-technology-co.,-ltd.|00:1d:0e
agat-rt,-ltd.|00:12:e3
agere-systems|00:02:2d
agere-systems|00:05:3d
agfa-corporation|08:00:66
agfa-ndt-inc.|00:0b:cf
agfeo-gmbh-&-co.-kg|00:09:40
agile-communications,-inc.|00:25:b8
agile-networks,-inc.|00:20:b6
agile-systems-inc.|00:0b:0c
agile-tv-corporation|00:05:57
agilemesh,-inc.|80:91:c0
agilent-technologies|00:30:d3
agilent-technologies,-inc.|00:04:43
agilink-systems-corp.|00:25:b9
agilis-corporation|00:80:5c
aglaia-gesellschaft-fãœr-bildverarbeitung-und-kommunikation-m|00:0b:91
agp-telecom-co.-ltd|00:11:be
agranat-systems|00:90:b3
ahead-communication-systems-inc|00:12:19
ahnlab,inc.|00:1b:e2
aichi-electric-co.,-ltd.|00:11:37
aiconn-technology-corporation|cc:d8:11
aidonic-corporation|00:06:df
aiji-system-co.,-ltd.|00:09:78
ailocom-oy|00:0c:ae
aim-infrarotmodule-gmbh|00:14:e6
aim-system,-inc.|00:d0:20
aimvalley-b.v.|00:0f:25
ain-comm.tech.co.,-ltd|00:0d:2f
ainsworth-game-technology|6c:22:ab
aio-lcd-pc-bu-/-tpv|00:25:ab
aioi-systems-co.,-ltd.|00:1d:c4
aipermon-gmbh-&-co.-kg|00:1a:36
aiphone-co.,ltd|00:0b:aa
aiptek-international-inc|00:0a:9a
air-link-technology|00:02:a8
air-products-and-chemicals,-inc.|00:07:5a
air2app|00:1e:77
air2u,-inc.|00:0b:0d
air802-llc|00:1f:35
airak,-inc.|00:14:ed
airaya-corp|00:11:f8
airdefense,-inc.|00:16:5d
airdio-wireless,-inc.|00:26:fb
airespider-networks|00:19:48
airfiber,-inc.|00:50:df
airflow-networks|00:0b:c8
airgain,-inc.|00:1c:04
airgo-networks,-inc.|00:0a:f5
airlink-communications,-inc.|00:14:3e
airlink-wifi-networking-corp.|00:23:d3
airlogic|00:0b:24
airlogic-systems-inc.|00:1f:76
airmagnet,-inc|00:0d:c8
airnav-systems-llc|14:ee:9d
airocon,-inc.|00:05:1d
airoha-technology-corp.,|0c:fc:83
airpointe-of-new-hampshire|4c:60:d5
airrunner-technologies,-inc.|00:06:8b
airspan|00:a0:0a
airspan-communications,-ltd.|00:01:aa
airswitch-corporation|00:01:65
airtech-technologies,-inc.|00:22:4b
airties-wireless-networks|00:1c:a8
airties-wireless-networks|18:28:61
airvana,-inc.|00:05:b9
airvast-technology-inc.|00:0a:e9
airvod-limited|00:1b:b4
airwalk-communications,-inc.|00:0c:9d
airwave-technologies-inc.|00:0d:db
aisai-communication-technology-co.,-ltd.|e0:c2:86
aisin-aw-co.,ltd.|00:1e:43
aisino-corporation|40:95:58
aisino-corporation|40:98:7b
ait-austrian-institute-of-technology-gmbh|00:60:36
aitech-systems-ltd.|00:80:7a
aiwa-co.,-ltd.|00:50:71
aiware-inc.|00:12:95
aizen-solutions-inc.|00:15:47
aizo-ag|a8:99:5c
aja-video-systems-inc|00:0c:17
ajile-systems,-inc.|00:b0:ee
ajin-vision-co.,ltd|00:1a:3d
ajinextek|00:23:93
ajoho-enterprise-co.,-ltd.|00:26:83
ak-nord-edv-vertriebsges.-mbh|08:bb:cc
ak-systems-ltd|00:e1:75
akai-professional-m.i.-corp.|00:20:c7
akamai-technologies,-inc.|00:1c:a1
akamba-corporation|00:30:76
akara-canada,-inc.|00:03:e9
akatsuki-electric-mfg.co.,ltd.|00:0c:f4
akcp|00:0b:dc
akib-systems-taiwan,-inc|e8:0b:13
akimbi-systems|00:13:f5
akita-electronics-systems-co.,ltd.|00:0b:8f
akom-technology-corporation|00:09:2f
akorri|00:14:88
aksys-networks-inc|00:22:01
aksys,-ltd.|00:0e:d9
aktino,-inc.|00:0e:d8
akyllor|dc:de:ca
alacritech,-inc.|00:10:42
alacron-inc.|00:22:42
alamar-electronics|00:20:e1
alantro-communications|00:d0:a4
alaris-medical-systems,-inc.|00:d0:75
alaris,-inc.|00:b0:94
alarm.com|00:1c:fa
alaxala-networks-corporation|00:12:e2
albahith-technologies|3c:10:6f
albatron-technology|00:0a:48
albentia-systems-s.a.|00:1f:4a
alberta-microelectronic-centre|00:80:c9
albis-technologies-ag|00:1a:d0
albrecht-jung-gmbh-&-co.-kg|00:22:d1
alcad-sl|00:1d:21
alcatel---ipd|00:1a:f0
alcatel---sel|00:c0:be
alcatel--lucent-ipd|a0:f3:e4
alcatel-alenia-space-italia|00:15:3f
alcatel-bell-n.v.|00:19:8f
alcatel-bell-space-n.v.|00:0f:62
alcatel-business-systems|00:80:9f
alcatel-canada|00:d0:f6
alcatel-canada-inc.|00:80:21
alcatel-data-networks|00:a0:81
alcatel-di|00:11:3f
alcatel-italia-s.p.a.|00:20:60
alcatel-lucent|00:17:cc
alcatel-lucent|00:1d:4c
alcatel-lucent|00:21:05
alcatel-lucent|00:21:35
alcatel-lucent|04:0a:83
alcatel-lucent|14:3e:60
alcatel-lucent|18:42:2f
alcatel-lucent|34:aa:99
alcatel-lucent|48:f7:f1
alcatel-lucent|4c:5f:d2
alcatel-lucent|4c:a7:4b
alcatel-lucent|4c:c9:4f
alcatel-lucent|54:05:5f
alcatel-lucent|68:59:7f
alcatel-lucent|88:5c:4f
alcatel-lucent|8c:90:d3
alcatel-lucent|90:3a:a0
alcatel-lucent|90:67:b5
alcatel-lucent|90:67:f3
alcatel-lucent|94:ae:61
alcatel-lucent|d4:e3:3f
alcatel-lucent|e8:e7:32
alcatel-lucent-7705|38:52:1a
alcatel-lucent-france---wtd|00:21:ae
alcatel-lucent-ipd|00:1c:8e
alcatel-lucent-ipd|00:23:3e
alcatel-lucent-ipd|00:25:ba
alcatel-lucent-ipd|0c:a4:02
alcatel-lucent-ipd|24:af:4a
alcatel-lucent-ipd|6c:be:e9
alcatel-lucent-ipd|7c:20:64
alcatel-lucent-shanghai-bell-co.,-ltd|18:80:f5
alcatel-lucent-shanghai-bell-co.,-ltd|ac:9c:e4
alcatel-lucent-shanghai-bell-co.,-ltd|e0:30:05
alcatel-lucent-telecom-limited|f8:30:94
alcatel-lucent-wt|48:f8:e1
alcatel-lucent,-enterprise-business-group|00:11:8b
alcatel-lucent,-enterprise-business-group|00:d0:95
alcatel-lucent,-enterprise-business-group|00:e0:b1
alcatel-microelectronics|00:08:9a
alcatel-north-america|00:0e:86
alcatel-north-america-esd|00:20:da
alcatel-north-america-esd|00:e0:da
alcatel-north-america-ip-division|00:16:4d
alcatel-shanghai-bell-co.,-ltd.|00:07:72
alcatel-stc-australia|00:80:39
alcatel-taisel|00:20:32
alcea|34:fc:6f
alcohol-monitoring-systems|00:24:db
alcoma,-spol.-s-r.o.|00:1e:57
alcomp,-inc|44:9c:b5
alcon-laboratories,-inc.|00:09:f4
alcon-telecommunications-co.,-ltd.|00:23:28
alcorn-mcbride-inc.|00:10:46
alec-sicherheitssysteme-gmbh|00:27:1b
alektrona-corporation|00:1c:cd
alentec-&-orion-ab|00:1e:d6
alereon,-inc.|00:1d:8e
alertme.com-limited|00:1c:2b
alerton-technologies,-inc.|00:60:2d
alertus-technologies-llc|00:1d:97
alesis-corporation|00:05:95
alexon-co.,-ltd.|00:06:4b
alfa-laval-automation-ab|00:80:94
alfa,-inc.|00:c0:ca
alfatech,-inc.|00:e0:3e
alflex|00:23:3c
alfred-mann-foundation|00:1a:51
alge-timing-gmbh|2c:3f:3e
algo-communication-products-ltd|00:22:ee
algolith|00:1d:d7
